"Idp","Mk","Normal:0","Normal:1","Normal:2","NormalSize","Points:0","Points:1","Points:2"
0,10,0.1,0,0.1,0.14142,-0.06,0,-0.06
1,10,0.1,0,0.06,0.11662,-0.06,0,-0.04
2,10,0.1,0,0.02,0.10198,-0.06,0,-0.02
3,10,0.1,0,0,0.1,-0.06,0,0
4,10,0.1,0,0,0.1,-0.06,0,0.02
5,10,0.1,0,0,0.1,-0.06,0,0.04
6,10,0.1,0,0,0.1,-0.06,0,0.06
7,10,0.1,0,0,0.1,-0.06,0,0.08
8,10,0.1,0,0,0.1,-0.06,0,0.1
9,10,0.1,0,0,0.1,-0.06,0,0.12
10,10,0.1,0,0,0.1,-0.06,0,0.14
11,10,0.1,0,0,0.1,-0.06,0,0.16
12,10,0.1,0,0,0.1,-0.06,0,0.18
13,10,0.1,0,0,0.1,-0.06,0,0.2
14,10,0.1,0,0,0.1,-0.06,0,0.22
15,10,0.1,0,0,0.1,-0.06,0,0.24
16,10,0.1,0,0,0.1,-0.06,0,0.26
17,10,0.1,0,0,0.1,-0.06,0,0.28
18,10,0.1,0,0,0.1,-0.06,0,0.3
19,10,0.1,0,0,0.1,-0.06,0,0.32
20,10,0.1,0,0,0.1,-0.06,0,0.34
21,10,0.1,0,0,0.1,-0.06,0,0.36
22,10,0.1,0,0,0.1,-0.06,0,0.38
23,10,0.1,0,0,0.1,-0.06,0,0.4
24,10,0.1,0,0,0.1,-0.06,0,0.42
25,10,0.1,0,0,0.1,-0.06,0,0.44
26,10,0.1,0,0,0.1,-0.06,0,0.46
27,10,0.1,0,0,0.1,-0.06,0,0.48
28,10,0.1,0,0,0.1,-0.06,0,0.5
29,10,0.1,0,0,0.1,-0.06,0,0.52
30,10,0.1,0,0,0.1,-0.06,0,0.54
31,10,0.1,0,0,0.1,-0.06,0,0.56
32,10,0.1,0,0,0.1,-0.06,0,0.58
33,10,0.1,0,0,0.1,-0.06,0,0.6
34,10,0.1,0,0,0.1,-0.06,0,0.62
35,10,0.1,0,0,0.1,-0.06,0,0.64
36,10,0.1,0,0,0.1,-0.06,0,0.66
37,10,0.1,0,0,0.1,-0.06,0,0.68
38,10,0.1,0,0,0.1,-0.06,0,0.7
39,10,0.1,0,0,0.1,-0.06,0,0.72
40,10,0.1,0,0,0.1,-0.06,0,0.74
41,10,0.1,0,0,0.1,-0.06,0,0.76
42,10,0.1,0,0,0.1,-0.06,0,0.78
43,10,0.1,0,0,0.1,-0.06,0,0.8
44,10,0.1,0,0,0.1,-0.06,0,0.82
45,10,0.1,0,0,0.1,-0.06,0,0.84
46,10,0.1,0,0,0.1,-0.06,0,0.86
47,10,0.1,0,0,0.1,-0.06,0,0.88
48,10,0.1,0,0,0.1,-0.06,0,0.9
49,10,0.1,0,0,0.1,-0.06,0,0.92
50,10,0.1,0,0,0.1,-0.06,0,0.94
51,10,0.1,0,0,0.1,-0.06,0,0.96
52,10,0.1,0,0,0.1,-0.06,0,0.98
53,10,0.1,0,0,0.1,-0.06,0,1
54,10,0.1,0,0,0.1,-0.06,0,1.02
55,10,0.1,0,0,0.1,-0.06,0,1.04
56,10,0.1,0,0,0.1,-0.06,0,1.06
57,10,0.1,0,0,0.1,-0.06,0,1.08
58,10,0.1,0,0,0.1,-0.06,0,1.1
59,10,0.1,0,0,0.1,-0.06,0,1.12
60,10,0.1,0,0,0.1,-0.06,0,1.14
61,10,0.1,0,0,0.1,-0.06,0,1.16
62,10,0.1,0,0,0.1,-0.06,0,1.18
63,10,0.1,0,0,0.1,-0.06,0,1.2
64,10,0.1,0,0,0.1,-0.06,0,1.22
65,10,0.1,0,0,0.1,-0.06,0,1.24
66,10,0.1,0,0,0.1,-0.06,0,1.26
67,10,0.1,0,0,0.1,-0.06,0,1.28
68,10,0.1,0,0,0.1,-0.06,0,1.3
69,10,0.1,0,0,0.1,-0.06,0,1.32
70,10,0.1,0,0,0.1,-0.06,0,1.34
71,10,0.1,0,0,0.1,-0.06,0,1.36
72,10,0.1,0,0,0.1,-0.06,0,1.38
73,10,0.1,0,0,0.1,-0.06,0,1.4
74,10,0.1,0,0,0.1,-0.06,0,1.42
75,10,0.1,0,0,0.1,-0.06,0,1.44
76,10,0.1,0,0,0.1,-0.06,0,1.46
77,10,0.1,0,0,0.1,-0.06,0,1.48
78,10,0.1,0,0,0.1,-0.06,0,1.5
79,10,0.1,0,0,0.1,-0.06,0,1.52
80,10,0.1,0,0,0.1,-0.06,0,1.54
81,10,0.1,0,0,0.1,-0.06,0,1.56
82,10,0.1,0,0,0.1,-0.06,0,1.58
83,10,0.1,0,0,0.1,-0.06,0,1.6
84,10,0.1,0,0,0.1,-0.06,0,1.62
85,10,0.1,0,0,0.1,-0.06,0,1.64
86,10,0.1,0,0,0.1,-0.06,0,1.66
87,10,0.1,0,0,0.1,-0.06,0,1.68
88,10,0.1,0,0,0.1,-0.06,0,1.7
89,10,0.1,0,0,0.1,-0.06,0,1.72
90,10,0.1,0,0,0.1,-0.06,0,1.74
91,10,0.1,0,0,0.1,-0.06,0,1.76
92,10,0.1,0,0,0.1,-0.06,0,1.78
93,10,0.1,0,0,0.1,-0.06,0,1.8
94,10,0.1,0,0,0.1,-0.06,0,1.82
95,10,0.1,0,0,0.1,-0.06,0,1.84
96,10,0.1,0,0,0.1,-0.06,0,1.86
97,10,0.1,0,0,0.1,-0.06,0,1.88
98,10,0.1,0,0,0.1,-0.06,0,1.9
99,10,0.1,0,0,0.1,-0.06,0,1.92
100,10,0.1,0,0,0.1,-0.06,0,1.94
101,10,0.1,0,0,0.1,-0.06,0,1.96
102,10,0.1,0,0,0.1,-0.06,0,1.98
103,10,0.1,0,0,0.1,-0.06,0,2
104,10,0.1,0,0,0.1,-0.06,0,2.02
105,10,0.1,0,0,0.1,-0.06,0,2.04
106,10,0.1,0,0,0.1,-0.06,0,2.06
107,10,0.1,0,0,0.1,-0.06,0,2.08
108,10,0.1,0,0,0.1,-0.06,0,2.1
109,10,0.1,0,0,0.1,-0.06,0,2.12
110,10,0.1,0,0,0.1,-0.06,0,2.14
111,10,0.1,0,0,0.1,-0.06,0,2.16
112,10,0.1,0,0,0.1,-0.06,0,2.18
113,10,0.1,0,0,0.1,-0.06,0,2.2
114,10,0.1,0,0,0.1,-0.06,0,2.22
115,10,0.1,0,0,0.1,-0.06,0,2.24
116,10,0.1,0,0,0.1,-0.06,0,2.26
117,10,0.1,0,0,0.1,-0.06,0,2.28
118,10,0.1,0,0,0.1,-0.06,0,2.3
119,10,0.1,0,0,0.1,-0.06,0,2.32
120,10,0.1,0,0,0.1,-0.06,0,2.34
121,10,0.1,0,0,0.1,-0.06,0,2.36
122,10,0.1,0,0,0.1,-0.06,0,2.38
123,10,0.1,0,0,0.1,-0.06,0,2.4
124,10,0.1,0,0,0.1,-0.06,0,2.42
125,10,0.1,0,0,0.1,-0.06,0,2.44
126,10,0.1,0,0,0.1,-0.06,0,2.46
127,10,0.1,0,0,0.1,-0.06,0,2.48
128,10,0.1,0,0,0.1,-0.06,0,2.5
129,10,0.1,0,0,0.1,-0.06,0,2.52
130,10,0.1,0,0,0.1,-0.06,0,2.54
131,10,0.1,0,0,0.1,-0.06,0,2.56
132,10,0.1,0,0,0.1,-0.06,0,2.58
133,10,0.1,0,0,0.1,-0.06,0,2.6
134,10,0.1,0,0,0.1,-0.06,0,2.62
135,10,0.1,0,0,0.1,-0.06,0,2.64
136,10,0.1,0,0,0.1,-0.06,0,2.66
137,10,0.1,0,0,0.1,-0.06,0,2.68
138,10,0.1,0,0,0.1,-0.06,0,2.7
139,10,0.1,0,0,0.1,-0.06,0,2.72
140,10,0.1,0,0,0.1,-0.06,0,2.74
141,10,0.1,0,0,0.1,-0.06,0,2.76
142,10,0.1,0,0,0.1,-0.06,0,2.78
143,10,0.1,0,0,0.1,-0.06,0,2.8
144,10,0.1,0,0,0.1,-0.06,0,2.82
145,10,0.1,0,0,0.1,-0.06,0,2.84
146,10,0.1,0,0,0.1,-0.06,0,2.86
147,10,0.1,0,0,0.1,-0.06,0,2.88
148,10,0.1,0,0,0.1,-0.06,0,2.9
149,10,0.1,0,0,0.1,-0.06,0,2.92
150,10,0.1,0,0,0.1,-0.06,0,2.94
151,10,0.1,0,0,0.1,-0.06,0,2.96
152,10,0.1,0,0,0.1,-0.06,0,2.98
153,10,0.1,0,0,0.1,-0.06,0,3
154,10,0.06,0,0.1,0.11662,-0.04,0,-0.06
155,10,0.06,0,0.06,0.084853,-0.04,0,-0.04
156,10,0.06,0,0.02,0.063246,-0.04,0,-0.02
157,10,0.06,0,0,0.06,-0.04,0,0
158,10,0.06,0,0,0.06,-0.04,0,0.02
159,10,0.06,0,0,0.06,-0.04,0,0.04
160,10,0.06,0,0,0.06,-0.04,0,0.06
161,10,0.06,0,0,0.06,-0.04,0,0.08
162,10,0.06,0,0,0.06,-0.04,0,0.1
163,10,0.06,0,0,0.06,-0.04,0,0.12
164,10,0.06,0,0,0.06,-0.04,0,0.14
165,10,0.06,0,0,0.06,-0.04,0,0.16
166,10,0.06,0,0,0.06,-0.04,0,0.18
167,10,0.06,0,0,0.06,-0.04,0,0.2
168,10,0.06,0,0,0.06,-0.04,0,0.22
169,10,0.06,0,0,0.06,-0.04,0,0.24
170,10,0.06,0,0,0.06,-0.04,0,0.26
171,10,0.06,0,0,0.06,-0.04,0,0.28
172,10,0.06,0,0,0.06,-0.04,0,0.3
173,10,0.06,0,0,0.06,-0.04,0,0.32
174,10,0.06,0,0,0.06,-0.04,0,0.34
175,10,0.06,0,0,0.06,-0.04,0,0.36
176,10,0.06,0,0,0.06,-0.04,0,0.38
177,10,0.06,0,0,0.06,-0.04,0,0.4
178,10,0.06,0,0,0.06,-0.04,0,0.42
179,10,0.06,0,0,0.06,-0.04,0,0.44
180,10,0.06,0,0,0.06,-0.04,0,0.46
181,10,0.06,0,0,0.06,-0.04,0,0.48
182,10,0.06,0,0,0.06,-0.04,0,0.5
183,10,0.06,0,0,0.06,-0.04,0,0.52
184,10,0.06,0,0,0.06,-0.04,0,0.54
185,10,0.06,0,0,0.06,-0.04,0,0.56
186,10,0.06,0,0,0.06,-0.04,0,0.58
187,10,0.06,0,0,0.06,-0.04,0,0.6
188,10,0.06,0,0,0.06,-0.04,0,0.62
189,10,0.06,0,0,0.06,-0.04,0,0.64
190,10,0.06,0,0,0.06,-0.04,0,0.66
191,10,0.06,0,0,0.06,-0.04,0,0.68
192,10,0.06,0,0,0.06,-0.04,0,0.7
193,10,0.06,0,0,0.06,-0.04,0,0.72
194,10,0.06,0,0,0.06,-0.04,0,0.74
195,10,0.06,0,0,0.06,-0.04,0,0.76
196,10,0.06,0,0,0.06,-0.04,0,0.78
197,10,0.06,0,0,0.06,-0.04,0,0.8
198,10,0.06,0,0,0.06,-0.04,0,0.82
199,10,0.06,0,0,0.06,-0.04,0,0.84
200,10,0.06,0,0,0.06,-0.04,0,0.86
201,10,0.06,0,0,0.06,-0.04,0,0.88
202,10,0.06,0,0,0.06,-0.04,0,0.9
203,10,0.06,0,0,0.06,-0.04,0,0.92
204,10,0.06,0,0,0.06,-0.04,0,0.94
205,10,0.06,0,0,0.06,-0.04,0,0.96
206,10,0.06,0,0,0.06,-0.04,0,0.98
207,10,0.06,0,0,0.06,-0.04,0,1
208,10,0.06,0,0,0.06,-0.04,0,1.02
209,10,0.06,0,0,0.06,-0.04,0,1.04
210,10,0.06,0,0,0.06,-0.04,0,1.06
211,10,0.06,0,0,0.06,-0.04,0,1.08
212,10,0.06,0,0,0.06,-0.04,0,1.1
213,10,0.06,0,0,0.06,-0.04,0,1.12
214,10,0.06,0,0,0.06,-0.04,0,1.14
215,10,0.06,0,0,0.06,-0.04,0,1.16
216,10,0.06,0,0,0.06,-0.04,0,1.18
217,10,0.06,0,0,0.06,-0.04,0,1.2
218,10,0.06,0,0,0.06,-0.04,0,1.22
219,10,0.06,0,0,0.06,-0.04,0,1.24
220,10,0.06,0,0,0.06,-0.04,0,1.26
221,10,0.06,0,0,0.06,-0.04,0,1.28
222,10,0.06,0,0,0.06,-0.04,0,1.3
223,10,0.06,0,0,0.06,-0.04,0,1.32
224,10,0.06,0,0,0.06,-0.04,0,1.34
225,10,0.06,0,0,0.06,-0.04,0,1.36
226,10,0.06,0,0,0.06,-0.04,0,1.38
227,10,0.06,0,0,0.06,-0.04,0,1.4
228,10,0.06,0,0,0.06,-0.04,0,1.42
229,10,0.06,0,0,0.06,-0.04,0,1.44
230,10,0.06,0,0,0.06,-0.04,0,1.46
231,10,0.06,0,0,0.06,-0.04,0,1.48
232,10,0.06,0,0,0.06,-0.04,0,1.5
233,10,0.06,0,0,0.06,-0.04,0,1.52
234,10,0.06,0,0,0.06,-0.04,0,1.54
235,10,0.06,0,0,0.06,-0.04,0,1.56
236,10,0.06,0,0,0.06,-0.04,0,1.58
237,10,0.06,0,0,0.06,-0.04,0,1.6
238,10,0.06,0,0,0.06,-0.04,0,1.62
239,10,0.06,0,0,0.06,-0.04,0,1.64
240,10,0.06,0,0,0.06,-0.04,0,1.66
241,10,0.06,0,0,0.06,-0.04,0,1.68
242,10,0.06,0,0,0.06,-0.04,0,1.7
243,10,0.06,0,0,0.06,-0.04,0,1.72
244,10,0.06,0,0,0.06,-0.04,0,1.74
245,10,0.06,0,0,0.06,-0.04,0,1.76
246,10,0.06,0,0,0.06,-0.04,0,1.78
247,10,0.06,0,0,0.06,-0.04,0,1.8
248,10,0.06,0,0,0.06,-0.04,0,1.82
249,10,0.06,0,0,0.06,-0.04,0,1.84
250,10,0.06,0,0,0.06,-0.04,0,1.86
251,10,0.06,0,0,0.06,-0.04,0,1.88
252,10,0.06,0,0,0.06,-0.04,0,1.9
253,10,0.06,0,0,0.06,-0.04,0,1.92
254,10,0.06,0,0,0.06,-0.04,0,1.94
255,10,0.06,0,0,0.06,-0.04,0,1.96
256,10,0.06,0,0,0.06,-0.04,0,1.98
257,10,0.06,0,0,0.06,-0.04,0,2
258,10,0.06,0,0,0.06,-0.04,0,2.02
259,10,0.06,0,0,0.06,-0.04,0,2.04
260,10,0.06,0,0,0.06,-0.04,0,2.06
261,10,0.06,0,0,0.06,-0.04,0,2.08
262,10,0.06,0,0,0.06,-0.04,0,2.1
263,10,0.06,0,0,0.06,-0.04,0,2.12
264,10,0.06,0,0,0.06,-0.04,0,2.14
265,10,0.06,0,0,0.06,-0.04,0,2.16
266,10,0.06,0,0,0.06,-0.04,0,2.18
267,10,0.06,0,0,0.06,-0.04,0,2.2
268,10,0.06,0,0,0.06,-0.04,0,2.22
269,10,0.06,0,0,0.06,-0.04,0,2.24
270,10,0.06,0,0,0.06,-0.04,0,2.26
271,10,0.06,0,0,0.06,-0.04,0,2.28
272,10,0.06,0,0,0.06,-0.04,0,2.3
273,10,0.06,0,0,0.06,-0.04,0,2.32
274,10,0.06,0,0,0.06,-0.04,0,2.34
275,10,0.06,0,0,0.06,-0.04,0,2.36
276,10,0.06,0,0,0.06,-0.04,0,2.38
277,10,0.06,0,0,0.06,-0.04,0,2.4
278,10,0.06,0,0,0.06,-0.04,0,2.42
279,10,0.06,0,0,0.06,-0.04,0,2.44
280,10,0.06,0,0,0.06,-0.04,0,2.46
281,10,0.06,0,0,0.06,-0.04,0,2.48
282,10,0.06,0,0,0.06,-0.04,0,2.5
283,10,0.06,0,0,0.06,-0.04,0,2.52
284,10,0.06,0,0,0.06,-0.04,0,2.54
285,10,0.06,0,0,0.06,-0.04,0,2.56
286,10,0.06,0,0,0.06,-0.04,0,2.58
287,10,0.06,0,0,0.06,-0.04,0,2.6
288,10,0.06,0,0,0.06,-0.04,0,2.62
289,10,0.06,0,0,0.06,-0.04,0,2.64
290,10,0.06,0,0,0.06,-0.04,0,2.66
291,10,0.06,0,0,0.06,-0.04,0,2.68
292,10,0.06,0,0,0.06,-0.04,0,2.7
293,10,0.06,0,0,0.06,-0.04,0,2.72
294,10,0.06,0,0,0.06,-0.04,0,2.74
295,10,0.06,0,0,0.06,-0.04,0,2.76
296,10,0.06,0,0,0.06,-0.04,0,2.78
297,10,0.06,0,0,0.06,-0.04,0,2.8
298,10,0.06,0,0,0.06,-0.04,0,2.82
299,10,0.06,0,0,0.06,-0.04,0,2.84
300,10,0.06,0,0,0.06,-0.04,0,2.86
301,10,0.06,0,0,0.06,-0.04,0,2.88
302,10,0.06,0,0,0.06,-0.04,0,2.9
303,10,0.06,0,0,0.06,-0.04,0,2.92
304,10,0.06,0,0,0.06,-0.04,0,2.94
305,10,0.06,0,0,0.06,-0.04,0,2.96
306,10,0.06,0,0,0.06,-0.04,0,2.98
307,10,0.06,0,0,0.06,-0.04,0,3
308,10,0.02,0,0.1,0.10198,-0.02,0,-0.06
309,10,0.02,0,0.06,0.063246,-0.02,0,-0.04
310,10,0.02,0,0.02,0.028284,-0.02,0,-0.02
311,10,0.02,0,0,0.02,-0.02,0,0
312,10,0.02,0,0,0.02,-0.02,0,0.02
313,10,0.02,0,0,0.02,-0.02,0,0.04
314,10,0.02,0,0,0.02,-0.02,0,0.06
315,10,0.02,0,0,0.02,-0.02,0,0.08
316,10,0.02,0,0,0.02,-0.02,0,0.1
317,10,0.02,0,0,0.02,-0.02,0,0.12
318,10,0.02,0,0,0.02,-0.02,0,0.14
319,10,0.02,0,0,0.02,-0.02,0,0.16
320,10,0.02,0,0,0.02,-0.02,0,0.18
321,10,0.02,0,0,0.02,-0.02,0,0.2
322,10,0.02,0,0,0.02,-0.02,0,0.22
323,10,0.02,0,0,0.02,-0.02,0,0.24
324,10,0.02,0,0,0.02,-0.02,0,0.26
325,10,0.02,0,0,0.02,-0.02,0,0.28
326,10,0.02,0,0,0.02,-0.02,0,0.3
327,10,0.02,0,0,0.02,-0.02,0,0.32
328,10,0.02,0,0,0.02,-0.02,0,0.34
329,10,0.02,0,0,0.02,-0.02,0,0.36
330,10,0.02,0,0,0.02,-0.02,0,0.38
331,10,0.02,0,0,0.02,-0.02,0,0.4
332,10,0.02,0,0,0.02,-0.02,0,0.42
333,10,0.02,0,0,0.02,-0.02,0,0.44
334,10,0.02,0,0,0.02,-0.02,0,0.46
335,10,0.02,0,0,0.02,-0.02,0,0.48
336,10,0.02,0,0,0.02,-0.02,0,0.5
337,10,0.02,0,0,0.02,-0.02,0,0.52
338,10,0.02,0,0,0.02,-0.02,0,0.54
339,10,0.02,0,0,0.02,-0.02,0,0.56
340,10,0.02,0,0,0.02,-0.02,0,0.58
341,10,0.02,0,0,0.02,-0.02,0,0.6
342,10,0.02,0,0,0.02,-0.02,0,0.62
343,10,0.02,0,0,0.02,-0.02,0,0.64
344,10,0.02,0,0,0.02,-0.02,0,0.66
345,10,0.02,0,0,0.02,-0.02,0,0.68
346,10,0.02,0,0,0.02,-0.02,0,0.7
347,10,0.02,0,0,0.02,-0.02,0,0.72
348,10,0.02,0,0,0.02,-0.02,0,0.74
349,10,0.02,0,0,0.02,-0.02,0,0.76
350,10,0.02,0,0,0.02,-0.02,0,0.78
351,10,0.02,0,0,0.02,-0.02,0,0.8
352,10,0.02,0,0,0.02,-0.02,0,0.82
353,10,0.02,0,0,0.02,-0.02,0,0.84
354,10,0.02,0,0,0.02,-0.02,0,0.86
355,10,0.02,0,0,0.02,-0.02,0,0.88
356,10,0.02,0,0,0.02,-0.02,0,0.9
357,10,0.02,0,0,0.02,-0.02,0,0.92
358,10,0.02,0,0,0.02,-0.02,0,0.94
359,10,0.02,0,0,0.02,-0.02,0,0.96
360,10,0.02,0,0,0.02,-0.02,0,0.98
361,10,0.02,0,0,0.02,-0.02,0,1
362,10,0.02,0,0,0.02,-0.02,0,1.02
363,10,0.02,0,0,0.02,-0.02,0,1.04
364,10,0.02,0,0,0.02,-0.02,0,1.06
365,10,0.02,0,0,0.02,-0.02,0,1.08
366,10,0.02,0,0,0.02,-0.02,0,1.1
367,10,0.02,0,0,0.02,-0.02,0,1.12
368,10,0.02,0,0,0.02,-0.02,0,1.14
369,10,0.02,0,0,0.02,-0.02,0,1.16
370,10,0.02,0,0,0.02,-0.02,0,1.18
371,10,0.02,0,0,0.02,-0.02,0,1.2
372,10,0.02,0,0,0.02,-0.02,0,1.22
373,10,0.02,0,0,0.02,-0.02,0,1.24
374,10,0.02,0,0,0.02,-0.02,0,1.26
375,10,0.02,0,0,0.02,-0.02,0,1.28
376,10,0.02,0,0,0.02,-0.02,0,1.3
377,10,0.02,0,0,0.02,-0.02,0,1.32
378,10,0.02,0,0,0.02,-0.02,0,1.34
379,10,0.02,0,0,0.02,-0.02,0,1.36
380,10,0.02,0,0,0.02,-0.02,0,1.38
381,10,0.02,0,0,0.02,-0.02,0,1.4
382,10,0.02,0,0,0.02,-0.02,0,1.42
383,10,0.02,0,0,0.02,-0.02,0,1.44
384,10,0.02,0,0,0.02,-0.02,0,1.46
385,10,0.02,0,0,0.02,-0.02,0,1.48
